year,VAcorp,NOScorp,Pcorpnipa,NMINT,KGCcorp,INVcorp,KTCcorp,Rcorp,Profshcorp,rcorp,VAcorpnipa,KNCcorpbea,Rcorpnipa,Profshcorpnipa,rcorpnipa,uK,uFRB,Rcorpn,Profshcorpn,rcorpn,IGCcorpbea,DEPCcorp,pIGcorpbea,GOSRcorp,ECcorp,WEQ2,VAcorp_check,Pcorp,rcorp_sectoral,exploit_rate,pKN,GVAcorp,Py,real_Y_gro,real_Y_net,real_K_gro,real_K_net,R_gross,R_net,R_net_Knet,g_real_Y_gro_pct,g_real_Y_net_pct,g_real_K_gro_pct,g_real_K_net_pct,g_real_Y_gro_log,g_real_Y_net_log,g_real_K_gro_log,g_real_K_net_log
1947,118.6,24.9,22.5,2.3999999999999995,170.5828337097477,25.1924207661426,195.77525447589028,0.684669876212078,0.2099494097807757,0.1437460364054025,117.1,190.1,0.7346298619824341,0.1921434671221178,0.1411543287327478,0.885106384754181,,0.7735452912840868,0.229449284911671,0.1774894139319239,15.7,8.9,23.2917448596751,145.11579189808916,82.1,22.133173996175906,118.6,22.5,0.1410658307210031,0.3032886723507917,11.687301316453992,127.5,12.474580718518355,1022.0784399649432,950.7333567046451,1367.4434240224175,1523.8989132340055,0.7474374603070872,0.6952633944503572,0.6238821672803787,,,,,,,,
1948,136.0,32.1,29.6,2.5,191.68359280651973,28.798097438081573,220.48169024460137,0.694674106613144,0.2360294117647059,0.1639635207520729,134.1,208.1,0.70541820094687,0.2207307979120059,0.1557075223566544,0.923893213272095,,0.7518987006656971,0.229324174783279,0.1724285490507807,17.8,10.4,25.34578629720218,167.68073202247191,91.1,23.49115492957747,136.0,29.6,0.1557075223566544,0.3523600439077937,12.328702827178615,146.4,13.181947390287103,1110.6098034336899,1031.71402504769,1454.1371402207126,1578.6741809737082,0.7637586392058722,0.7095025610109195,0.6535319557904854,8.661895213422488,8.517705597680258,6.339839343647591,3.5944160904648914,8.30709966675407,8.17431589112374,6.146981130689255,3.5313243644015557
1949,132.4,30.2,27.6,2.699999999999999,200.7047696097666,28.522770172059257,229.22753978182587,0.6005033790022022,0.2280966767371601,0.1369728251198376,130.3,212.2,0.6261412782316195,0.2118188795088257,0.1326285439692455,0.869800388813019,,0.6903921712678062,0.22900357180577,0.1581022731670685,16.2,11.2,26.095421355358813,158.6485208888889,88.8,20.64184536082473,132.4,27.6,0.1326923076923077,0.3400900900900901,12.2771097593625,143.6,13.176480878140511,1089.8205774975106,1004.820643876535,1523.2046512717318,1610.4451709259872,0.715478761562088,0.6596754041143486,0.6239396795475967,-1.87187488098024,-2.6066701157728245,4.7497247089456796,2.012510899030673,-1.8896162045968445,-2.6412459366024876,4.640374473381126,1.9925275647413088
1950,150.6,37.2,34.4,2.8000000000000007,230.20600652901385,35.69829666230825,265.9043031913221,0.6569891215660126,0.2470119521912351,0.1622841654864254,148.4,238.1,0.699340245051838,0.2318059299191374,0.1621112158341187,0.879007756710052,,0.7474213015195563,0.228358741382195,0.1706801876972479,17.8,12.0,26.736763049192643,184.01629213483145,98.7,21.08311044327573,150.6,34.4,0.1621112158341187,0.3768996960486322,13.416174233016012,162.6,13.301117355082765,1222.453690613184,1132.2357060660856,1730.726828306985,1790.075176722012,0.7063238811690469,0.6541966574665341,0.6325073498530029,12.170178821566303,12.680378629363286,13.624050902286289,11.154059078753953,11.484698586912767,11.938511723242673,12.772501357949562,10.57469726824758
1951,172.9,42.5,39.1,3.5,255.84979414602253,42.236510818829736,298.0863049648523,0.6502339297442505,0.2458068247541931,0.1598319376178753,170.3,258.5,0.7152456950860984,0.2295948326482677,0.1642167156656866,0.925842940807343,,0.702315588405568,0.227251913197548,0.1596025611336269,21.7,13.6,29.409212027733457,190.75655596313365,114.6,24.431116460637604,172.9,39.1,0.1641477749790092,0.3708551483420593,14.108519660463656,186.5,14.203091859270112,1313.0943730274805,1217.3405742437071,1801.3668902594177,1820.026248941575,0.7289433263860976,0.6757871374378354,0.6688588007736944,7.4146516232308946,7.516532796277509,4.081525795814556,1.67317398783271,7.152640785507813,7.247444320836927,4.000430794550791,1.6593306340584313
1952,180.9,40.6,37.0,3.700000000000001,276.7328418152084,44.2476572792157,320.9804990944241,0.6068712214783908,0.2244333886124931,0.136202164687798,178.1,273.5,0.6889748549323017,0.2077484559236384,0.1431334622823984,0.910232961177826,,0.6667207707937863,0.225731729522999,0.1505000327001883,22.7,14.5,30.02754968157305,183.4981561409692,123.0,25.97801875,180.9,37.0,0.143244289585753,0.3300813008130081,14.471325701210484,195.4,14.512496446767104,1346.425824920898,1246.5119331023054,1906.8589806742395,1884.5827180955253,0.7060961710156565,0.6536990651828672,0.6614259597806216,2.538389667801888,2.396318620754223,5.856224569533963,3.547007588022022,2.506707581467449,2.3680575001867155,5.691161543332601,3.485550320341524
1953,193.6,41.1,37.3,3.7999999999999976,296.53555848647704,46.10110690219687,342.6366653886739,0.6031519065681555,0.212293388429752,0.1280451619832189,190.8,287.0,0.6976234003656306,0.1954926624737945,0.136380255941499,0.924771666526794,,0.6522171130452558,0.224032313497744,0.1461177087383482,24.8,15.4,30.56986970529857,184.82250838709675,134.0,25.81271453590193,193.6,37.3,0.1365300146412884,0.3067164179104477,14.684464749597003,209.0,14.698357859751166,1421.9275513240107,1317.1539422790834,2017.4740696611207,1952.5990776554595,0.7048058622943564,0.6528727987568774,0.6745644599303136,5.6075667151993525,5.667174721782642,5.800905578647941,3.6090938809344664,5.455983721700264,5.512410730210071,5.638889274397485,3.5454918758459186
1954,190.4,40.3,36.4,4.000000000000001,311.23510269058767,46.03747911853146,357.2725818091191,0.5556906753806325,0.2116596638655462,0.117617301564283,187.4,295.3,0.6529616724738676,0.1942369263607257,0.1268292682926829,0.8767209649086,,0.6338284330163868,0.222374470965749,0.1409472624750687,24.1,16.2,30.75701356902445,183.69793892116184,132.2,26.224844602609725,190.4,36.4,0.1269619811649808,0.3048411497730711,14.704855179218828,206.6,14.84814029256773,1391.4200427067226,1282.3154701421104,2096.1217806271475,1988.8012517487668,0.6638068720847019,0.611756188019977,0.6447680325093126,-2.145503727590159,-2.6449810472944146,3.89832574052551,1.8540505579248912,-2.168854253834507,-2.6805899744283046,3.824259784409456,1.837072573118359
1955,215.7,51.3,46.6,4.700000000000004,347.98339125729046,52.78384952113242,400.7672407784229,0.6037407038283239,0.2378303198887343,0.1435878447213399,212.4,325.0,0.7192685404673214,0.2193973634651601,0.1578056214019641,0.903114199638367,,0.6685098120150021,0.220861684636002,0.1476482032773304,26.6,17.1,31.109799769375808,219.86641028571427,144.6,25.34998326359831,215.7,46.6,0.1579661016949152,0.3547717842323651,15.68831476496418,232.8,15.058054358996786,1546.0164670006534,1432.4559790895228,2310.945245388755,2158.3133667320117,0.6689974459955571,0.6198571696788732,0.6636923076923077,11.110694078633166,11.708546956138122,10.248615645667968,8.523331068611895,10.535676235848168,11.07230342245824,9.756777175815223,8.179499676659674
1956,230.0,50.3,45.2,5.100000000000001,391.8473726280085,58.82817443841661,450.6755470664251,0.573899202822226,0.218695652173913,0.1255092604432955,226.4,360.7,0.6966153846153846,0.1996466431095406,0.1390769230769231,0.86929577589035,,0.6601886477987622,0.219490692507833,0.1449052634911601,32.2,19.2,33.505946535497614,207.42586670807447,158.2,27.890666666666657,230.0,45.2,0.1392054203880505,0.3179519595448799,16.764998238397013,249.2,15.572999803205564,1600.2055040718897,1476.915192361696,2516.1971205274795,2316.188303847234,0.6359619010041759,0.5869632312638864,0.637649015802606,3.505075025259319,3.103705378816013,8.8817281823653,7.314736569243729,3.4450459575678494,3.056514404774724,8.509204458739639,7.059579409941907
