year,line_number,line_desc,value,table_label,table_name,source
1929,1,Government fixed assets,63.0,govt_net_cc,FAAt601,SEED
1929,2,National defense,8.0,govt_net_cc,FAAt601,SEED
1929,3,National defense: Structures,2.8,govt_net_cc,FAAt601,SEED
1929,4,National defense: Equipment,4.0,govt_net_cc,FAAt601,SEED
1929,5,National defense: IP products,1.2,govt_net_cc,FAAt601,SEED
1929,6,Nondefense,55.0,govt_net_cc,FAAt601,SEED
1929,7,Nondefense: Structures,41.25,govt_net_cc,FAAt601,SEED
1929,8,Nondefense: Equipment,8.25,govt_net_cc,FAAt601,SEED
1929,9,Nondefense: IP products,5.5,govt_net_cc,FAAt601,SEED
1930,1,Government fixed assets,63.91,govt_net_cc,FAAt601,SEED
1930,2,National defense,8.47,govt_net_cc,FAAt601,SEED
1930,3,National defense: Structures,2.96,govt_net_cc,FAAt601,SEED
1930,4,National defense: Equipment,4.24,govt_net_cc,FAAt601,SEED
1930,5,National defense: IP products,1.27,govt_net_cc,FAAt601,SEED
1930,6,Nondefense,55.44,govt_net_cc,FAAt601,SEED
1930,7,Nondefense: Structures,41.58,govt_net_cc,FAAt601,SEED
1930,8,Nondefense: Equipment,8.32,govt_net_cc,FAAt601,SEED
1930,9,Nondefense: IP products,5.54,govt_net_cc,FAAt601,SEED
1931,1,Government fixed assets,64.85,govt_net_cc,FAAt601,SEED
1931,2,National defense,8.97,govt_net_cc,FAAt601,SEED
1931,3,National defense: Structures,3.14,govt_net_cc,FAAt601,SEED
1931,4,National defense: Equipment,4.48,govt_net_cc,FAAt601,SEED
1931,5,National defense: IP products,1.35,govt_net_cc,FAAt601,SEED
1931,6,Nondefense,55.88,govt_net_cc,FAAt601,SEED
1931,7,Nondefense: Structures,41.91,govt_net_cc,FAAt601,SEED
1931,8,Nondefense: Equipment,8.38,govt_net_cc,FAAt601,SEED
1931,9,Nondefense: IP products,5.59,govt_net_cc,FAAt601,SEED
1932,1,Government fixed assets,65.82,govt_net_cc,FAAt601,SEED
1932,2,National defense,9.5,govt_net_cc,FAAt601,SEED
1932,3,National defense: Structures,3.32,govt_net_cc,FAAt601,SEED
