"year","K_net_cc","K_net_chain","K_net_hist","D_cc","IG_cc","asset","K_gross_cc","p_K_raw","p_K","K_net_real","IG_real","D_real","K_gross_real"
1929,3,0.05,3,0.6,0.72,"IP",3.6,60,2.14285714285714,1.4,0.336,0.28,1.68
1930,3.08,0.05,3.08,0.62,0.7,"IP",3.7,61.6,2.2,1.4,0.318181818181818,0.281818181818182,1.68181818181818
1931,3.16,0.05,3.16,0.63,0.71,"IP",3.79,63.2,2.25714285714286,1.4,0.314556962025316,0.279113924050633,1.67911392405063
1932,3.24,0.05,3.24,0.65,0.73,"IP",3.89,64.8,2.31428571428571,1.4,0.315432098765432,0.280864197530864,1.68086419753086
1933,3.33,0.06,3.33,0.67,0.76,"IP",4,55.5,1.98214285714286,1.68,0.383423423423423,0.338018018018018,2.01801801801802
1934,3.42,0.06,3.42,0.68,0.77,"IP",4.1,57,2.03571428571429,1.68,0.378245614035088,0.334035087719298,2.0140350877193
1935,3.51,0.06,3.51,0.7,0.79,"IP",4.21,58.5,2.08928571428571,1.68,0.378119658119658,0.335042735042735,2.01504273504273
1936,3.6,0.06,3.6,0.72,0.81,"IP",4.32,60,2.14285714285714,1.68,0.378,0.336,2.016
1937,3.7,0.06,3.7,0.74,0.84,"IP",4.44,61.6666666666667,2.20238095238095,1.68,0.381405405405405,0.336,2.016
1938,3.8,0.07,3.8,0.76,0.86,"IP",4.56,54.2857142857143,1.93877551020408,1.96,0.443578947368421,0.392,2.352
1939,3.9,0.07,3.9,0.78,0.88,"IP",4.68,55.7142857142857,1.98979591836735,1.96,0.44225641025641,0.392,2.352
1940,4,0.07,4,0.8,0.9,"IP",4.8,57.1428571428571,2.04081632653061,1.96,0.441,0.392,2.352
1941,4.29,0.08,4.23,0.86,1.15,"IP",5.15,53.625,1.91517857142857,2.24,0.6004662004662,0.449044289044289,2.68904428904429
1942,4.59,0.08,4.47,0.92,1.23,"IP",5.51,57.375,2.04910714285714,2.24,0.600261437908497,0.448976034858388,2.68897603485839
1943,4.92,0.09,4.73,0.98,1.31,"IP",5.9,54.6666666666667,1.95238095238095,2.52,0.670975609756097,0.501951219512195,3.0219512195122
1944,5.28,0.09,5,1.06,1.41,"IP",6.34,58.6666666666667,2.0952380952381,2.52,0.672954545454545,0.505909090909091,3.02590909090909
1945,5.66,0.1,5.29,1.13,1.51,"IP",6.79,56.6,2.02142857142857,2.8,0.746996466431095,0.559010600706714,3.35901060070671
1946,6.06,0.11,5.6,1.21,1.62,"IP",7.27,55.0909090909091,1.96753246753247,3.08,0.823366336633663,0.614983498349835,3.69498349834983
1947,6.5,0.12,5.92,1.3,1.74,"IP",7.8,54.1666666666667,1.93452380952381,3.36,0.899446153846154,0.672,4.032
1948,6.96,0.13,6.26,1.39,1.86,"IP",8.35,53.5384615384615,1.91208791208791,3.64,0.972758620689655,0.726954022988506,4.36695402298851
1949,7.46,0.14,6.62,1.49,1.99,"IP",8.95,53.2857142857143,1.9030612244898,3.92,1.0456836461126,0.782949061662199,4.7029490616622
1950,8,0.15,7,1.6,2.14,"IP",9.6,53.3333333333333,1.9047619047619,4.2,1.1235,0.84,5.04
1951,8.77,0.17,7.6,1.75,2.52,"IP",10.52,51.5882352941176,1.84243697478992,4.76,1.36775370581528,0.949828962371722,5.70982896237172
1952,9.61,0.19,8.26,1.92,2.76,"IP",11.53,50.578947368421,1.80639097744361,5.32,1.52790842872008,1.06289281997919,6.38289281997919
1953,10.53,0.22,8.97,2.11,3.03,"IP",12.64,47.8636363636364,1.70941558441558,6.16,1.77253561253561,1.23433998100665,7.39433998100665
1954,11.54,0.24,9.74,2.31,3.32,"IP",13.85,48.0833333333333,1.7172619047619,6.72,1.93331022530329,1.34516464471404,8.06516464471404
1955,12.65,0.27,10.58,2.53,3.64,"IP",15.18,46.8518518518518,1.67328042328042,7.56,2.17536758893281,1.512,9.072
1956,13.86,0.31,11.5,2.77,3.98,"IP",16.63,44.7096774193548,1.59677419354839,8.68,2.49252525252525,1.73474747474747,10.4147474747475
1957,15.19,0.35,12.49,3.04,4.37,"IP",18.23,43.4,1.55,9.8,2.81935483870968,1.96129032258065,11.7612903225806
1958,16.65,0.39,13.56,3.33,4.79,"IP",19.98,42.6923076923077,1.52472527472527,10.92,3.14154954954955,2.184,13.104
1959,18.25,0.44,14.73,3.65,5.25,"IP",21.9,41.4772727272727,1.48133116883117,12.32,3.5441095890411,2.464,14.784
1960,20,0.5,16,4,5.75,"IP",24,40,1.42857142857143,14,4.025,2.8,16.8
1961,21.92,0.56,17.3,4.38,6.3,"IP",26.3,39.1428571428571,1.39795918367347,15.68,4.50656934306569,3.13313868613139,18.8131386861314
1962,24.02,0.62,18.71,4.8,6.9,"IP",28.82,38.741935483871,1.38364055299539,17.36,4.98684429641965,3.46910907577019,20.8291090757702
1963,26.33,0.7,20.24,5.27,7.58,"IP",31.6,37.6142857142857,1.34336734693878,19.6,5.6425370300038,3.92297759210027,23.5229775921003
1964,28.85,0.78,21.88,5.77,8.3,"IP",34.62,36.9871794871795,1.3209706959707,21.84,6.2832582322357,4.368,26.208
1965,31.62,0.87,23.66,6.32,9.09,"IP",37.94,36.3448275862069,1.29802955665025,24.36,7.00292220113852,4.86891840607211,29.2289184060721
1966,34.66,0.97,25.59,6.93,9.96,"IP",41.59,35.7319587628866,1.27614138438881,27.16,7.80477784189267,5.43043277553376,32.5904327755337
1967,37.98,1.08,27.67,7.6,10.93,"IP",45.58,35.1666666666667,1.25595238095238,30.24,8.70255924170616,6.05118483412322,36.2911848341232
1968,41.63,1.2,29.93,8.33,11.97,"IP",49.96,34.6916666666667,1.2389880952381,33.6,9.66110977660341,6.7232284410281,40.3232284410281
1969,45.62,1.34,32.36,9.12,13.11,"IP",54.74,34.044776119403,1.21588486140725,37.52,10.782270933801,7.50071021481806,45.0207102148181
1970,50,1.5,35,10,14.38,"IP",60,33.3333333333333,1.19047619047619,42,12.0792,8.4,50.4
1971,55.01,1.69,38.25,11,16.01,"IP",66.01,32.5502958579882,1.16251056635672,47.32,13.7719178331213,9.4622795855299,56.7822795855299
1972,60.53,1.91,41.8,12.11,17.63,"IP",72.64,31.6910994764398,1.13182498130142,53.48,15.5766132496283,10.6995341153147,64.1795341153147
1973,66.6,2.15,45.67,13.32,19.39,"IP",79.92,30.9767441860465,1.1063122923588,60.2,17.5266966966967,12.04,72.24
1974,73.28,2.43,49.91,14.66,21.34,"IP",87.94,30.156378600823,1.07701352145797,68.04,19.8140502183406,13.6117139737991,81.6517139737991
1975,80.62,2.74,54.54,16.12,23.47,"IP",96.74,29.4233576642336,1.05083420229406,76.72,22.3346365666088,15.3401935003721,92.0601935003721
1976,88.71,3.09,59.6,17.74,25.82,"IP",106.45,28.7087378640777,1.0253120665742,86.52,25.1825769360839,17.3020493743659,103.822049374366
1977,97.6,3.48,65.13,19.52,28.41,"IP",117.12,28.0459770114943,1.00164203612479,97.44,28.3634262295082,19.488,116.928
1978,107.39,3.93,71.18,21.48,31.27,"IP",128.87,27.3256997455471,0.975917848055253,110.04,32.0416314368191,22.0100493528261,132.050049352826
1979,118.15,4.43,77.78,23.63,34.4,"IP",141.78,26.6704288939052,0.952515317639471,124.04,36.1149047820567,24.808,148.848
1980,130,5,85,26,37.85,"IP",156,26,0.928571428571429,140,40.7615384615385,28,168
