"year","asset","K_net_cc","K_gross_cc","K_net_chain","K_net_real","IG_cc","IG_real","D_cc","D_real","p_K"
1925,"Defense_IP",0.9,NA,NA,NA,NA,NA,NA,NA,NA
1926,"Defense_IP",0.97,NA,NA,NA,NA,NA,NA,NA,NA
1927,"Defense_IP",1.04,NA,NA,NA,NA,NA,NA,NA,NA
1928,"Defense_IP",1.12,NA,NA,NA,NA,NA,NA,NA,NA
1929,"Defense_IP",1.2,NA,NA,NA,NA,NA,NA,NA,NA
1930,"Defense_IP",1.27,NA,NA,NA,NA,NA,NA,NA,NA
1931,"Defense_IP",1.35,NA,NA,NA,NA,NA,NA,NA,NA
1932,"Defense_IP",1.42,NA,NA,NA,NA,NA,NA,NA,NA
1933,"Defense_IP",1.51,NA,NA,NA,NA,NA,NA,NA,NA
1934,"Defense_IP",1.6,NA,NA,NA,NA,NA,NA,NA,NA
1935,"Defense_IP",1.69,NA,NA,NA,NA,NA,NA,NA,NA
1936,"Defense_IP",1.79,NA,NA,NA,NA,NA,NA,NA,NA
1937,"Defense_IP",1.9,NA,NA,NA,NA,NA,NA,NA,NA
1938,"Defense_IP",2.01,NA,NA,NA,NA,NA,NA,NA,NA
1939,"Defense_IP",2.13,NA,NA,NA,NA,NA,NA,NA,NA
1940,"Defense_IP",2.25,NA,NA,NA,NA,NA,NA,NA,NA
1941,"Defense_IP",3.41,NA,NA,NA,NA,NA,NA,NA,NA
1942,"Defense_IP",5.17,NA,NA,NA,NA,NA,NA,NA,NA
1943,"Defense_IP",7.83,NA,NA,NA,NA,NA,NA,NA,NA
1944,"Defense_IP",11.88,NA,NA,NA,NA,NA,NA,NA,NA
1945,"Defense_IP",18,NA,NA,NA,NA,NA,NA,NA,NA
1946,"Defense_IP",16.6,NA,NA,NA,NA,NA,NA,NA,NA
1947,"Defense_IP",15.31,NA,NA,NA,NA,NA,NA,NA,NA
1948,"Defense_IP",14.11,NA,NA,NA,NA,NA,NA,NA,NA
1949,"Defense_IP",13.01,NA,NA,NA,NA,NA,NA,NA,NA
1950,"Defense_IP",12,NA,NA,NA,NA,NA,NA,NA,NA
1951,"Defense_IP",13.61,NA,NA,NA,NA,NA,NA,NA,NA
1952,"Defense_IP",15.43,NA,NA,NA,NA,NA,NA,NA,NA
1953,"Defense_IP",17.5,NA,NA,NA,NA,NA,NA,NA,NA
1954,"Defense_IP",19.84,NA,NA,NA,NA,NA,NA,NA,NA
1955,"Defense_IP",22.5,NA,NA,NA,NA,NA,NA,NA,NA
1956,"Defense_IP",24.51,NA,NA,NA,NA,NA,NA,NA,NA
1957,"Defense_IP",26.7,NA,NA,NA,NA,NA,NA,NA,NA
1958,"Defense_IP",29.08,NA,NA,NA,NA,NA,NA,NA,NA
1959,"Defense_IP",31.67,NA,NA,NA,NA,NA,NA,NA,NA
1960,"Defense_IP",34.5,NA,NA,NA,NA,NA,NA,NA,NA
1961,"Defense_IP",35.62,NA,NA,NA,NA,NA,NA,NA,NA
1962,"Defense_IP",36.79,NA,NA,NA,NA,NA,NA,NA,NA
1963,"Defense_IP",37.98,NA,NA,NA,NA,NA,NA,NA,NA
1964,"Defense_IP",39.22,NA,NA,NA,NA,NA,NA,NA,NA
1965,"Defense_IP",40.5,NA,NA,NA,NA,NA,NA,NA,NA
1966,"Defense_IP",41.63,NA,NA,NA,NA,NA,NA,NA,NA
1967,"Defense_IP",42.8,NA,NA,NA,NA,NA,NA,NA,NA
1968,"Defense_IP",44,NA,NA,NA,NA,NA,NA,NA,NA
1969,"Defense_IP",45.23,NA,NA,NA,NA,NA,NA,NA,NA
1970,"Defense_IP",46.5,NA,NA,NA,NA,NA,NA,NA,NA
1971,"Defense_IP",48.43,NA,NA,NA,NA,NA,NA,NA,NA
1972,"Defense_IP",50.45,NA,NA,NA,NA,NA,NA,NA,NA
1973,"Defense_IP",52.54,NA,NA,NA,NA,NA,NA,NA,NA
1974,"Defense_IP",54.73,NA,NA,NA,NA,NA,NA,NA,NA
1975,"Defense_IP",57,NA,NA,NA,NA,NA,NA,NA,NA
1976,"Defense_IP",61.37,NA,NA,NA,NA,NA,NA,NA,NA
1977,"Defense_IP",66.09,NA,NA,NA,NA,NA,NA,NA,NA
1978,"Defense_IP",71.16,NA,NA,NA,NA,NA,NA,NA,NA
1979,"Defense_IP",76.62,NA,NA,NA,NA,NA,NA,NA,NA
1980,"Defense_IP",82.5,NA,NA,NA,NA,NA,NA,NA,NA
