"year","KNC_NF_corp","KNR_NF_corp","KGC_NF_corp","KGR_NF_corp","IG_cc_NF_corp","IG_R_NF_corp","pK_NF_corp","z_NF_corp","rho_NF_corp","KNC_gov_trans","KNR_gov_trans","KGC_gov_trans","KGR_gov_trans","IG_cc_gov_trans","IG_R_gov_trans","pK_gov_trans","z_gov_trans","rho_gov_trans","KGC_productive","KNC_productive","KNR_productive","KGR_productive","IG_productive","pK_productive","share_NF_corp","share_govt","GVA_NF","CCA_NF","NVA_NF","EC_NF","NOS_NF","TPI_NF","GOS_NF","ProfSh","WageSh","Py_fred","KGC_NF_IPP","KNC_NF_IPP","KNR_NF_IPP","pK_NF_IPP","z_NF_IPP","KGC_fin_corp","KNC_fin_corp","KNR_fin_corp","pK_fin_corp","z_fin_corp","KGC_total","R_NVA_KGC","k_Py","k_pK","y_t","y_GVA","y_GOS","y_NOS"
1929,102600,1891178.93316,37276.6700960332,687103.83220247,7769,143202.428184406,5.4251873369044,0.0877231614031146,0.0159704800040612,18080,625814.7871,6143.31832420606,106321.334323854,1428,24714.1459064934,5.77806736839249,0.0269971900356502,0.00717137665999204,43419.9884202393,120680,2516993.72026,793425.166526324,9197,5.78652142190066,0.858514049687252,0.141485950312748,50825,5016,45809,32147,10709,2953,15725,0.233775022375516,0.701761662555393,8.778,1966.12793778727,2451,23456.64374,10.4490652079964,0.16936290066886,1802.1054552209,3416,42584.98002,8.02160761469344,0.0978825692849896,45386.1163580266,1.05502100914074,13.1115967714624,13.5283140423813,13.1651574520697,13.2690652332186,12.0959286762907,11.7117613831229
1930,97578,1924280.47548,40701.7668551413,802656.493030062,6446,127117.915359447,5.07088240219554,0.119583572566569,0.0168318876854209,18086,673215.6537,7304.17904842333,135941.824417399,1634,30411.2124888256,5.37301825963171,0.0484161512870703,0.0074370999979328,48005.9459035646,115664,2597496.12918,938598.317447461,8080,5.37412413847019,0.847848450625343,0.152151549374657,45259,4872,40387,28791,8605,2991,13477,0.213063609577339,0.712877906256964,8.457,2194.96957497094,2510,25413.9949,9.87644803533033,0.214530840299636,2007.19111194624,3385,44136.79172,7.66933859052137,0.105328059496674,50200.9154785356,0.841291620024117,13.2492558403973,13.7026547314439,13.076438915176,13.1903325095667,11.9789154929572,11.5302743938336
1931,87862,1918200.60036,40270.747872706,879189.783369044,4175,91148.4772313742,4.58043856223955,0.157600675883979,0.0182085201070508,17270,723259.6913,7930.35661333534,166059.851651993,1488,31158.3792893573,4.77560140783142,0.0716638601358729,0.00765292108754719,48201.1044860414,105132,2641460.29166,1045249.63502104,5663,4.80347169242324,0.835473549872039,0.164526450127961,35431,4560,30871,23522,4553,2796,9113,0.14748469437336,0.761944867351236,7.587,2279.35012637536,2484,26834.653,9.2566876120962,0.223592482571689,1872.72735536156,2885,44479.82378,6.48608684753202,0.246615960704376,50480.4546124167,0.640462502450332,13.3618711440565,13.8189684746769,12.9163064405136,13.0540763517617,11.6961911741283,11.0022755649669
1932,82123,1890165.62064,39981.5838385271,920227.16206568,2552,58737.5359384494,4.34475154469234,0.099482787637869,0.0201323509174393,14142,765198.0045,7152.46402373709,193503.436509039,1063,28758.5022904646,3.69629819127423,0.156767632387913,0.0079183343856867,47134.0478622642,96265,2655363.62514,1113730.59857472,3615,4.37530979907517,0.848252710129244,0.151747289870756,25721,4076,21645,17432,1319,2894,5395,0.0609378609378609,0.805359205359205,6.7,2226.00762647135,2386,27844.89876,8.56889450583156,0.234840491100044,1820.36718601311,2624,44055.11742,5.95617524970837,0.149473657103446,49360.0554887356,0.459222175512091,13.4638135629896,13.8899437608668,12.6855924194673,12.8581257174357,11.2962905372834,9.88769181230849
1933,82685,1859597.35962,42380.3574425612,953140.240671688,2380,53526.5370489883,4.44639263291363,0.021631478751722,0.0224004020884456,18084,789206.80775,9726.90747403765,212246.781598785,932,20336.7823717927,4.5828291956976,-0.0858339296040215,0.00823467174947188,52107.2649165988,100769,2648804.16737,1165387.02227047,3312,4.59136155598616,0.813329149215446,0.186670850784554,24976,3860,21116,16597,1114,3405,4974,0.0527562038264823,0.785991665088085,6.514,2183.41080018233,2374,29012.99542,8.18254015358749,0.193116280491416,2071.38753262094,2843,43254.70928,6.57269473618804,-0.038679263615557,54290.6757167811,0.405240997273558,13.5922761389317,13.9420532304098,12.6890028050776,12.8568871218893,11.2431961034974,9.74692889962128
1934,83912,1840682.19258,45340.6524292709,994586.370561041,2956,64842.4130191925,4.55874459688146,0.020395333481987,0.0245465275008763,21846,813964.50945,12398.5759431337,230980.517839224,1104,20567.0790632793,5.36780160470669,-0.0627433492852014,0.0086377885640038,57739.2283724046,105758,2654646.70203,1225566.88840027,4060,4.80807124692401,0.785265991724625,0.214734008275375,31484,3944,27540,19585,3938,4017,7882,0.142992011619463,0.711147421931736,6.871,2307.256347129,2582,30875.63604,8.36258076321073,0.120763231512379,2172.37473135322,2842,42764.66348,6.64567371453568,0.0452242049022964,60046.4847195336,0.476972082522015,13.6415526192359,13.9985662597499,12.9012553022218,13.0350952892015,11.6501974876941,10.9562887891382
1935,83436,1829704.64028,47588.3101805641,1043584.92689561,3428,75174.1155721732,4.5600802535666,0.046511303634066,0.026318035328435,21494,836607.67435,12738.9591944735,247918.280109055,977,19013.8107806818,5.13837026816655,0.0317756260377863,0.00898798102226011,60327.2693750376,104930,2666312.31463,1291503.20700466,4405,4.74955640981022,0.788835806320372,0.211164193679628,34931,4020,30911,21537,5298,4076,9318,0.171395296172883,0.69674226003688,7.012,2430.54719050883,2799,33148.689,8.44377284422922,0.132716110267251,2296.81835854345,2872,42503.30572,6.75712147878553,0.0401431273952984,62757.8165655464,0.51238851551253,13.6650867278617,14.0546584686434,12.9964146055216,13.1186771850061,11.7972505113058,11.2326318887611
1936,91866,1837642.25502,55142.5579328893,1103044.59220349,4422,88455.5118509398,4.99912318347295,-0.0438180336995967,0.0277848460587817,24603,879867.57305,15303.4580709986,273645.825960289,1568,28037.8887644271,5.59243248724701,-0.0329366970095832,0.00931896959020707,70446.016003888,116469,2717509.82807,1376690.41816378,5990,5.17253715535062,0.782763328019089,0.217236671980911,40184,4080,36104,24641,7181,4282,11261,0.198897629071571,0.68250055395524,7.097,2652.8336883327,3134,35895.29466,8.73094936170667,0.106765429847753,2549.30801648772,3061,42617.64974,7.18247021756109,-0.00425840349481124,73098.8496922207,0.512505916558963,13.808099991483,14.124408837166,13.1396569679521,13.2467222118751,11.9745987341423,11.5246919545556
1937,95067,1861792.87008,60416.5625679002,1183198.43293318,5723,112079.276672955,5.10620711507586,0.0268773029959792,0.0289430147873591,23979,916651.7028,15587.4795579511,297933.393368282,1407,26892.8843120981,5.23186722432389,0.0441200399721408,0.00952076244891641,76004.0421258513,119046,2778444.57288,1481131.82630146,7130,5.17103486268859,0.794912492520588,0.205087507479412,45751,4556,41195,28781,7885,4529,12441,0.191406724117004,0.698652749120039,7.402,2871.75898736378,3447,38673.4705,8.91308681490067,0.12221122518938,2866.78276544268,3314,43107.69554,7.68772247851874,-0.0106826955483236,78875.8011132151,0.54201064637835,13.8419617557447,14.2006391543548,13.2294921207738,13.3343888804124,12.0321727009386,11.5761374514213
1938,93989,1863481.72428,62373.2475443648,1236649.04279135,4467,88565.3944861501,5.04373070985254,0.0590497817264569,0.0296778491676428,24336,962422.61395,16537.5499193564,327007.561261416,1617,31973.9761414602,5.05723777626537,0.0271802108997677,0.0097330756231889,78910.7974637212,118325,2825904.33823,1563656.60405277,6084,5.0533974020401,0.790427286874658,0.209572713125342,40242,4632,35610,25513,5613,4484,10245,0.157624262847515,0.716456051670879,7.19,3050.82120995757,3710,41735.77796,8.8892556490877,0.14282457780956,2921.21202570153,3261,42764.66348,7.62545460348376,0.066014477015968,81961.6186736788,0.45126904231796,13.9085523617098,14.261182763473,13.112860790527,13.2351455195829,11.8670240749281,11.2653196291973
