date,year,value,series_id
1925-01-01,1925,93.5,GNPA
1926-01-01,1926,97.4,GNPA
1927-01-01,1927,96.0,GNPA
1928-01-01,1928,98.0,GNPA
1929-01-01,1929,104.4,GNPA
1930-01-01,1930,91.8,GNPA
1931-01-01,1931,76.9,GNPA
1932-01-01,1932,59.0,GNPA
1933-01-01,1933,56.7,GNPA
1934-01-01,1934,66.2,GNPA
1935-01-01,1935,73.7,GNPA
1936-01-01,1936,84.3,GNPA
1937-01-01,1937,92.4,GNPA
1938-01-01,1938,86.8,GNPA
1939-01-01,1939,92.9,GNPA
1940-01-01,1940,102.3,GNPA
1941-01-01,1941,128.8,GNPA
1942-01-01,1942,165.5,GNPA
1943-01-01,1943,198.1,GNPA
1944-01-01,1944,219.5,GNPA
1945-01-01,1945,228.0,GNPA
1946-01-01,1946,228.1,GNPA
1947-01-01,1947,250.5,GNPA
1948-01-01,1948,275.5,GNPA
1949-01-01,1949,273.6,GNPA
1950-01-01,1950,301.0,GNPA
1951-01-01,1951,348.3,GNPA
1952-01-01,1952,368.7,GNPA
1953-01-01,1953,390.9,GNPA
1954-01-01,1954,392.6,GNPA
1955-01-01,1955,428.0,GNPA
1956-01-01,1956,452.3,GNPA
1957-01-01,1957,477.5,GNPA
1958-01-01,1958,484.8,GNPA
1959-01-01,1959,525.3,GNPA
1960-01-01,1960,546.4,GNPA
1961-01-01,1961,566.4,GNPA
1962-01-01,1962,608.7,GNPA
1963-01-01,1963,642.4,GNPA
1964-01-01,1964,690.0,GNPA
1965-01-01,1965,748.6,GNPA
1966-01-01,1966,820.4,GNPA
1967-01-01,1967,867.8,GNPA
1968-01-01,1968,949.4,GNPA
1969-01-01,1969,1028.0,GNPA
1970-01-01,1970,1085.6,GNPA
1971-01-01,1971,1178.7,GNPA
1972-01-01,1972,1295.0,GNPA
1973-01-01,1973,1444.4,GNPA
1974-01-01,1974,1567.8,GNPA
1975-01-01,1975,1712.1,GNPA
1976-01-01,1976,1903.7,GNPA
1977-01-01,1977,2114.1,GNPA
1978-01-01,1978,2389.1,GNPA
1979-01-01,1979,2668.3,GNPA
1980-01-01,1980,2904.0,GNPA
1981-01-01,1981,3260.7,GNPA
1982-01-01,1982,3394.4,GNPA
1983-01-01,1983,3693.1,GNPA
1984-01-01,1984,4103.9,GNPA
1985-01-01,1985,4415.3,GNPA
1986-01-01,1986,4659.4,GNPA
1987-01-01,1987,4945.3,GNPA
1988-01-01,1988,5341.6,GNPA
1989-01-01,1989,5743.6,GNPA
1990-01-01,1990,6062.9,GNPA
1991-01-01,1991,6259.5,GNPA
1992-01-01,1992,6628.3,GNPA
1993-01-01,1993,6955.2,GNPA
1994-01-01,1994,7387.7,GNPA
1995-01-01,1995,7757.5,GNPA
1996-01-01,1996,8210.4,GNPA
1997-01-01,1997,8710.0,GNPA
1998-01-01,1998,9186.2,GNPA
1999-01-01,1999,9743.2,GNPA
2000-01-01,2000,10359.5,GNPA
2001-01-01,2001,10691.5,GNPA
2002-01-01,2002,11050.6,GNPA
2003-01-01,2003,11583.6,GNPA
2004-01-01,2004,12383.9,GNPA
2005-01-01,2005,13251.8,GNPA
2006-01-01,2006,14043.3,GNPA
2007-01-01,2007,14715.5,GNPA
2008-01-01,2008,15010.8,GNPA
2009-01-01,2009,14642.6,GNPA
2010-01-01,2010,15261.1,GNPA
2011-01-01,2011,15864.3,GNPA
2012-01-01,2012,16508.5,GNPA
2013-01-01,2013,17101.5,GNPA
2014-01-01,2014,17878.0,GNPA
2015-01-01,2015,18561.3,GNPA
2016-01-01,2016,19018.7,GNPA
2017-01-01,2017,19882.9,GNPA
2018-01-01,2018,20969.1,GNPA
2019-01-01,2019,21795.6,GNPA
2020-01-01,2020,21362.4,GNPA
2021-01-01,2021,23637.9,GNPA
2022-01-01,2022,25843.5,GNPA
2023-01-01,2023,27820.8,GNPA
