"year","u_med","u_lower","u_upper","u_shaikh"
1947,0.438863179319591,0.217960532714036,0.584607927800495,NA
1948,0.459985283727902,0.230824364556988,0.608523780727299,NA
1949,0.436400087307826,0.22070455478263,0.575466663279732,NA
1950,0.457495770918476,0.236396481170441,0.597962169988,NA
1951,0.480888674920037,0.250161166629966,0.626795301000762,NA
1952,0.476827996195989,0.250433954693155,0.6190532686321,NA
1953,0.488048499173158,0.258769087740932,0.631146385567487,NA
1954,0.464981739447716,0.248129315662572,0.599722935465481,NA
1955,0.491560971527691,0.266651921911201,0.629726778044561,NA
1956,0.483023800933119,0.265796909429412,0.615147459277081,NA
1957,0.472684935595114,0.262329226851171,0.599871785826765,NA
1958,0.446472980487651,0.248356306026264,0.566066080846976,NA
1959,0.48468341174407,0.271676990602048,0.612579405192354,NA
1960,0.495039197225737,0.278383177846686,0.624830992263787,NA
1961,0.495828343953558,0.280074061226561,0.624675690334513,NA
1962,0.526374386769193,0.298884829489967,0.66173232305328,NA
1963,0.544422618627766,0.310772276233707,0.682929657839018,NA
1964,0.564296227649502,0.32474806735562,0.705487030367325,NA
1965,0.589792082642233,0.342646352021776,0.734489984568613,NA
1966,0.606257366722868,0.355969792940111,0.751695960550968,NA
1967,0.598515498841287,0.354998847422173,0.739004254891836,NA
1968,0.613306306751374,0.367600954598873,0.754002010162883,NA
1969,0.615031108371743,0.372183030291049,0.753139681212686,NA
1970,0.584339220905559,0.356888690437807,0.712835936101998,NA
1971,0.581834700881027,0.358644188271964,0.707090743389231,NA
1972,0.602776817530141,0.374671600502271,0.730019115466764,NA
1973,0.614190288852088,0.386666803241726,0.739937145311673,NA
1974,0.563966153581422,0.362532760583188,0.699469275987235,NA
1975,0.543543149428314,0.351081297418719,0.671936552702425,NA
1976,0.564844514725169,0.368072852128146,0.694071838197396,NA
1977,0.582645321439441,0.383292182648111,0.711316809645813,NA
1978,0.599141517697003,0.398608337086966,0.725846704677294,NA
1979,0.590187927995907,0.39710251180237,0.709511942450948,NA
1980,0.562327394589251,0.382144986365525,0.671430816470367,NA
1981,0.567031035736174,0.387918877197507,0.673969025777624,NA
1982,0.547823219973931,0.375385959830392,0.650418190543743,NA
1983,0.568449322966888,0.389551415249235,0.674869450371137,NA
1984,0.610049714505009,0.420008525448211,0.721959148740497,NA
1985,0.621194368881861,0.429710614085373,0.732773547260834,NA
1986,0.623193131276529,0.433389591454076,0.732466663016831,NA
1987,0.641427903085599,0.448725395427116,0.750847286774218,NA
1988,0.661870062403266,0.465748980186037,0.77167776656295,NA
1989,0.661255539661203,0.467369154288723,0.768645303117213,NA
1990,0.656992727636022,0.466362320504035,0.761443243135956,NA
1991,0.652914291767555,0.463511767905808,0.756666747090662,NA
1992,0.662957556182819,0.472314269088421,0.766445100326613,NA
1993,0.667586499114826,0.478052181306514,0.76910173076743,NA
1994,0.688441837734914,0.496205932898063,0.789607397451143,NA
1995,0.702548928491505,0.509702344373143,0.802187052673133,NA
1996,0.715796729345371,0.522407000136912,0.814002637743439,NA
1997,0.738285661524547,0.542459942486579,0.835722179291176,NA
1998,0.752303585431464,0.557081074668995,0.847615182409557,NA
1999,0.768429915710262,0.573429432929718,0.863032979841805,NA
2000,0.780409796059864,0.587068795576749,0.87358577651429,NA
2001,0.746073233180149,0.564665101659481,0.833054964146858,NA
2002,0.730671563599664,0.556036445318983,0.81402143929826,NA
2003,0.736464075314155,0.562529328469357,0.819218648900336,NA
2004,0.745367392958251,0.574887828556658,0.825805460980478,NA
2005,0.753698113078808,0.587125156980936,0.83161447247854,NA
2006,0.755088891741237,0.593451059762162,0.830104225654678,NA
2007,0.735464000899737,0.580776840531845,0.806947967059104,NA
2008,0.685305948977607,0.545641091933024,0.749365360682653,NA
2009,0.670978165467121,0.531637982510146,0.735174063678132,NA
2010,0.698543551603917,0.555330262578854,0.764322907705907,NA
2011,0.71275343007131,0.56909971151297,0.778470849129401,NA
