"p","q","case","s","neg2logL","k_total","T_eff","logLik","AIC","BIC","HQ","AICc","ICOMP","ICOMP_Misspec","admissible","converged","rank_ok","stable","boundsJo_stat","boundsJo_cval","max_eig_mod","theta_hat","alpha_y","alpha_k","s_K","m","r","d","h","failed","error_msg","RICOMP","spec_idx","spec_id"
1,"d0","d0","h1",-572.801485604336,4,64,286.400742802168,-564.801485604336,-556.165953270897,-561.399513215165,-564.123519502641,-569.673001326466,NA,TRUE,TRUE,TRUE,TRUE,18.7367063187349,17.95,1.00000000000001,0.916923708131773,0.0917779271798248,0.100853603848352,NA,2,1,"d0","h1",FALSE,"",NA,2,"p1_d0_h1"
1,"d2","d2","h1",-582.693287387443,6,64,291.346643693722,-570.693287387443,-557.739988887285,-565.590328803686,-569.219603176917,-567.83566837219,NA,TRUE,TRUE,TRUE,TRUE,18.7367063187349,17.95,1,0.891713017945978,-0.0538176411878779,0.127826783280496,NA,2,1,"d2","h1",FALSE,"",NA,8,"p1_d2_h1"
1,"d2","d2","h2",-590.827530795272,10,64,295.413765397636,-570.827530795272,-549.238699961675,-562.322599822344,-566.676587399045,-557.123627714928,NA,TRUE,TRUE,TRUE,TRUE,22.4950385982814,17.95,1,0.798171425026046,-0.0540508794007453,0.147855448320979,NA,2,1,"d2","h2",FALSE,"",NA,9,"p1_d2_h2"
1,"d3","d3","h1",-585.846393097389,8,64,292.923196548695,-569.846393097389,-552.575328430512,-563.042448319047,-567.228211279207,-507.013254693622,NA,TRUE,TRUE,TRUE,TRUE,18.7367063187349,17.95,1,-0.605236264900198,-0.209602773183749,0.106449155219744,NA,2,1,"d3","h1",FALSE,"",NA,11,"p1_d3_h1"
1,"d3","d3","h2",-595.595716612613,12,64,297.797858306306,-571.595716612613,-545.689119612297,-561.389799445099,-565.478069553789,-487.964364378418,NA,TRUE,TRUE,TRUE,TRUE,22.4950385982814,17.95,1,-0.555096884813229,-0.262855584649631,0.115656739610504,NA,2,1,"d3","h2",FALSE,"",NA,12,"p1_d3_h2"
2,"d0","d0","h1",-577.33064558867,8,63,288.665322794335,-561.33064558867,-544.185567777538,-554.587402682932,-558.663978922004,-556.915417803925,NA,TRUE,TRUE,TRUE,TRUE,18.7367063187349,17.95,1.00000000000002,0.913045009530258,0.135600792525813,0.0964658996096041,NA,2,1,"d0","h1",FALSE,"",NA,14,"p2_d0_h1"
2,"d0","d0","h2",-583.691046736381,12,63,291.84552336819,-559.691046736381,-533.973430019682,-549.576182377773,-553.451046736381,-549.622760715411,NA,TRUE,TRUE,TRUE,TRUE,22.4950385982814,17.95,0.999999999999999,0.908785631084781,0.130821062371683,0.10903088593847,NA,2,1,"d0","h2",FALSE,"",NA,15,"p2_d0_h2"
2,"d2","d2","h1",-586.717958895068,10,63,293.358979447534,-566.717958895068,-545.286611631153,-558.288905262895,-562.487189664299,-560.990829514743,NA,TRUE,TRUE,TRUE,TRUE,18.7367063187349,17.95,1,0.898949691267666,0.0179693987614238,0.143477469196644,NA,2,1,"d2","h1",FALSE,"",NA,20,"p2_d2_h1"
2,"d2","d2","h2",-597.284428279568,14,63,298.642214139784,-569.284428279568,-539.280542110087,-557.483753194526,-560.534428279568,-555.888551773203,NA,TRUE,TRUE,TRUE,TRUE,22.4950385982814,17.95,1,0.808710014100017,0.00433314637362174,0.174669745583592,NA,2,1,"d2","h2",FALSE,"",NA,21,"p2_d2_h2"
2,"d3","d3","h1",-588.266432197814,12,63,294.133216098907,-564.266432197814,-538.548815481116,-554.151567839206,-558.026432197814,-510.028550412487,NA,TRUE,TRUE,TRUE,TRUE,18.7367063187349,17.95,1,2.49682802285517,0.0465973200680653,0.0957072791883213,NA,2,1,"d3","h1",FALSE,"",NA,23,"p2_d3_h1"
2,"d3","d3","h2",-597.572056614236,16,63,298.786028307118,-565.572056614236,-531.281900991971,-552.085570802759,-553.745969657714,-540.348512612546,NA,TRUE,TRUE,TRUE,TRUE,22.4950385982814,17.95,1,0.918989059526546,0.00338128290757108,0.168680675306275,NA,2,1,"d3","h2",FALSE,"",NA,24,"p2_d3_h2"
4,"d0","d0","h0",-585.477540348357,14,61,292.738770174178,-557.477540348357,-527.925306249931,-545.895742850367,-548.347105565748,-568.067333081779,NA,TRUE,TRUE,TRUE,TRUE,19.2144226750453,17.95,1.00000000000002,0.888523777859999,0.10482444697379,0.0282955652975386,NA,2,1,"d0","h0",FALSE,"",NA,37,"p4_d0_h0"
4,"d2","d2","h0",-594.848369326696,16,61,297.424184663348,-562.848369326696,-529.074387499923,-549.612029328994,-550.48473296306,-570.519955963132,NA,TRUE,TRUE,TRUE,TRUE,19.2144226750453,17.95,1,0.77567209958655,0.0121788699128761,0.120308010810376,NA,2,1,"d2","h0",FALSE,"",NA,43,"p4_d2_h0"
4,"d2","d2","h1",-601.677881866897,18,61,300.838940933449,-565.677881866897,-527.682152311778,-550.786999369482,-549.392167581183,-568.150136830667,NA,TRUE,TRUE,TRUE,TRUE,19.3827193463112,17.95,1,0.862479288948024,0.0599673521300411,0.147991851028283,NA,2,1,"d2","h1",FALSE,"",NA,44,"p4_d2_h1"
4,"d2","d2","h2",-612.031667415595,22,61,306.015833707797,-568.031667415595,-521.592442403782,-549.831699918754,-541.400088468226,-560.937627535771,NA,TRUE,TRUE,TRUE,TRUE,19.0547637033923,17.95,0.999999999999999,0.798010622844633,0.0810574064219094,0.168309731137798,NA,2,1,"d2","h2",FALSE,"",NA,45,"p4_d2_h2"
4,"d3","d3","h0",-600.220401389264,18,61,300.110200694632,-564.220401389264,-526.224671834145,-549.329518891849,-547.93468710355,-529.409198507721,NA,TRUE,TRUE,TRUE,TRUE,19.2144226750453,17.95,1,0.282763288895834,0.0273368902083675,0.160978082751074,NA,2,1,"d3","h0",FALSE,"",NA,46,"p4_d3_h0"
4,"d3","d3","h1",-603.831864070152,20,61,301.915932035076,-563.831864070152,-521.614386786686,-547.286439073025,-542.831864070152,-521.066705757842,NA,TRUE,TRUE,TRUE,TRUE,19.3827193463112,17.95,1,2.04022798964387,0.0809194790202992,0.101003010493569,NA,2,1,"d3","h1",FALSE,"",NA,47,"p4_d3_h1"
4,"d3","d3","h2",-612.069040508157,24,61,306.034520254079,-564.069040508157,-513.408067767998,-544.214530511604,-530.735707174824,-536.661391960772,NA,TRUE,TRUE,TRUE,TRUE,19.0547637033923,17.95,0.999999999999999,0.735751824719422,0.0727912009238129,0.172551576785321,NA,2,1,"d3","h2",FALSE,"",NA,48,"p4_d3_h2"
