"p","q","case","s","neg2logL","k_total","T_eff","logLik","AIC","BIC","HQ","AICc","ICOMP","ICOMP_Misspec","admissible","converged","rank_ok","stable","boundsJo_stat","boundsJo_cval","max_eig_mod","theta_hat","alpha_y","alpha_k","s_K","m","r","d","h","failed","error_msg","RICOMP","spec_idx","spec_id"
1,"d0","d0","h0",-560.40196845399,2,64,280.200984226995,-556.40196845399,-552.084202287271,-554.700982259405,-556.205247142515,-559.977035927305,NA,TRUE,TRUE,TRUE,TRUE,18.9613535403573,17.95,1,0.870055545564318,0.0793169448509992,0.110341148497675,NA,2,1,"d0","h0",FALSE,"",NA,1,"p1_d0_h0"
1,"d0","d0","h1",-566.51333428847,4,64,283.256667144235,-558.51333428847,-549.877801955032,-555.111361899299,-557.835368186775,-562.413179687649,NA,TRUE,TRUE,TRUE,TRUE,19.9801875269709,17.95,1,0.900171469293776,0.133484879932205,0.189888903930928,NA,2,1,"d0","h1",FALSE,"",NA,2,"p1_d0_h1"
1,"d0","d0","h2",-575.129304935577,8,64,287.564652467788,-559.129304935577,-541.858240268699,-552.325360157234,-556.511123117395,-565.584740922051,NA,FALSE,TRUE,FALSE,TRUE,16.9188809027058,17.95,1,0.882645824003431,0.0923195403428118,0.142536655334202,NA,2,1,"d0","h2",FALSE,"",NA,3,"p1_d0_h2"
1,"d1","d1","h0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,1,"d1","h0",TRUE,"argumentos no compatibles",NA,4,"p1_d1_h0"
1,"d1","d1","h1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,1,"d1","h1",TRUE,"argumentos no compatibles",NA,5,"p1_d1_h1"
1,"d1","d1","h2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,1,"d1","h2",TRUE,"argumentos no compatibles",NA,6,"p1_d1_h2"
1,"d2","d2","h0",-561.446599969616,4,64,280.723299984808,-553.446599969616,-544.811067636177,-550.044627580445,-552.768633867921,-552.142502360004,NA,TRUE,TRUE,TRUE,TRUE,18.9613535403573,17.95,1,0.832974476047278,0.057628628139442,0.142263339809249,NA,2,1,"d2","h0",FALSE,"",NA,7,"p1_d2_h0"
1,"d2","d2","h1",-572.540393015628,6,64,286.270196507814,-560.540393015628,-547.58709451547,-555.437434431872,-559.066708805102,-556.983422134785,NA,TRUE,TRUE,TRUE,TRUE,19.9801875269709,17.95,1,0.885212278689874,-0.023343780036316,0.193362633304032,NA,2,1,"d2","h1",FALSE,"",NA,8,"p1_d2_h1"
1,"d2","d2","h2",-583.740236969127,10,64,291.870118484563,-563.740236969127,-542.15140613553,-555.235305996199,-559.5892935729,-555.192731443614,NA,FALSE,TRUE,FALSE,TRUE,16.9188809027058,17.95,1,0.796635811040372,-0.0718057629992233,0.161642200727134,NA,2,1,"d2","h2",FALSE,"",NA,9,"p1_d2_h2"
1,"d3","d3","h0",-567.059745622633,6,64,283.529872811316,-555.059745622633,-542.106447122475,-549.956787038876,-553.586061412106,-524.210050977011,NA,TRUE,TRUE,TRUE,TRUE,18.9613535403573,17.95,1,0.545392634752622,-0.0801306527678263,0.148550285591485,NA,2,1,"d3","h0",FALSE,"",NA,10,"p1_d3_h0"
