"p","q","case","s","neg2logL","k_total","T_eff","logLik","AIC","BIC","HQ","AICc","ICOMP","ICOMP_Misspec","admissible","converged","rank_ok","stable","boundsJo_stat","boundsJo_cval","max_eig_mod","theta_hat","alpha_y","alpha_k","alpha_e","s_K","m","r","d","h","failed","error_msg","RICOMP","spec_idx","spec_id"
1,"d0","d0","h2",-373.281911107667,12,55,186.640955553834,-349.281911107667,-325.193912884877,-339.966887611874,-341.853339679096,-322.263449263963,NA,TRUE,TRUE,TRUE,TRUE,41.5388059391926,31.52,1,0.903041047840502,0.0765624649378196,0.0622332074687537,0.295170521229694,NA,3,1,"d0","h2",FALSE,"",NA,5,"p1_d0_h2_r1"
1,"d2","d2","h2",-396.953304927918,15,55,198.476652463959,-366.953304927918,-336.843307149431,-355.309525558176,-354.645612620226,-292.11632078484,NA,TRUE,TRUE,TRUE,TRUE,41.5388059391926,31.52,1,1.75365419994626,-0.0259195401377026,-0.0129334413614455,-1.23443010490846,NA,3,1,"d2","h2",FALSE,"",NA,17,"p1_d2_h2_r1"
1,"d3","d3","h2",-399.879979445963,18,55,199.939989722981,-363.879979445963,-327.747982111778,-349.907444202272,-344.879979445963,-192.150381212088,NA,TRUE,TRUE,TRUE,TRUE,41.5388059391926,31.52,1,-1.53913658673472,0.0164662072126578,0.0297266880567489,3.48839771059439,NA,3,1,"d3","h2",FALSE,"",NA,23,"p1_d3_h2_r1"
2,"d0","d0","h2",-381.46250853494,21,54,190.73125426747,-339.46250853494,-297.693843557091,-323.3539724455,-310.58750853494,-248.684164905811,NA,TRUE,TRUE,TRUE,TRUE,41.5388059391926,31.52,1,0.912491948653979,0.111438111540923,0.127592006528676,-1.34765755854815,NA,3,1,"d0","h2",FALSE,"",NA,29,"p2_d0_h2_r1"
2,"d2","d2","h2",-400.759989465405,24,54,200.379994732702,-352.759989465405,-305.024372347862,-334.350233934616,-311.380679120577,-252.713294063881,NA,TRUE,TRUE,TRUE,TRUE,41.5388059391926,31.52,1,1.08366620359088,-0.106677418016366,0.0135837418420064,-3.81651610729188,NA,3,1,"d2","h2",FALSE,"",NA,41,"p2_d2_h2_r1"
2,"d3","d3","h2",-407.005598770711,27,54,203.502799385356,-353.005598770711,-299.303029513476,-332.294623798573,-294.851752616865,-134.207933580439,NA,TRUE,TRUE,TRUE,TRUE,41.5388059391926,31.52,1,-0.0158117137575141,-0.390909766460437,0.0768246846177196,-7.86723158481525,NA,3,1,"d3","h2",FALSE,"",NA,47,"p2_d3_h2_r1"
3,"d2","d2","h2",-410.462678652359,33,53,205.231339326179,-344.462678652359,-279.443045505139,-319.459263609737,-226.357415494464,-208.517726261802,NA,TRUE,TRUE,TRUE,TRUE,36.6040075292815,31.52,1,1.10779130302102,-0.0942005158006555,0.00147060285839024,-3.62758114394299,NA,3,1,"d2","h2",FALSE,"",NA,65,"p3_d2_h2_r1"
3,"d3","d3","h2",-417.466408987539,36,53,208.73320449377,-345.466408987539,-274.535900099663,-318.18995621377,-178.966408987539,-92.8177544263864,NA,TRUE,TRUE,TRUE,TRUE,36.6040075292815,31.52,1,0.0692944290154739,-0.318032856925393,0.042496547330081,-8.40947338086564,NA,3,1,"d3","h2",FALSE,"",NA,71,"p3_d3_h2_r1"
4,"d2","d2","h2",-413.46960638707,42,52,206.734803193535,-329.46960638707,-247.51737020665,-298.051053222446,71.8637269462631,-158.126104902855,NA,TRUE,TRUE,TRUE,TRUE,37.2610816113699,31.52,1,0.953956590358527,-0.0865215228511905,0.0807630683381399,-5.40219429972474,NA,3,1,"d2","h2",FALSE,"",NA,89,"p4_d2_h2_r1"
4,"d3","d3","h2",-424.757674661982,45,52,212.378837330991,-334.757674661982,-246.951707325818,-301.094939128456,355.242325338018,13.5378212810839,NA,TRUE,TRUE,TRUE,TRUE,37.2610816113699,31.52,1,0.049036927353708,-0.393749502133541,0.271360542617463,-10.8117971641553,NA,3,1,"d3","h2",FALSE,"",NA,95,"p4_d3_h2_r1"
