"p","q","case","s","neg2logL","k_total","T_eff","logLik","AIC","BIC","HQ","AICc","ICOMP","ICOMP_Misspec","admissible","converged","rank_ok","stable","boundsJo_stat","boundsJo_cval","max_eig_mod","theta_hat","alpha_y","alpha_k","alpha_e","s_K","m","r","d","h","failed","error_msg","RICOMP","spec_idx","spec_id"
1,"d0","d0","h0",-364.920722339848,3,55,182.460361169924,-358.920722339848,-352.89872278415,-356.591966465899,-358.450134104553,-354.729952382294,NA,FALSE,TRUE,FALSE,TRUE,19.5607527324836,31.52,1,0.889828835631227,0.0364079816637703,0.0431185843776453,0.0227873867229082,NA,3,1,"d0","h0",FALSE,"",NA,1,"p1_d0_h0_r1"
1,"d0","d0","h0",-375.145878725578,6,55,187.572939362789,-363.145878725578,-351.101879614183,-358.488366977681,-361.395878725578,-335.424660423385,NA,FALSE,TRUE,FALSE,TRUE,8.20995843487315,17.95,1.00015522277086,0,0.0373176253673071,0.0478320746202991,0.766330157804397,NA,3,2,"d0","h0",FALSE,"",NA,2,"p1_d0_h0_r2"
1,"d0","d0","h1",-369.617102681879,6,55,184.80855134094,-357.617102681879,-345.573103570484,-352.959590933982,-355.867102681879,-347.048971689778,NA,FALSE,TRUE,FALSE,FALSE,25.9399078119707,31.52,1.00846391593439,0.908206405958895,0.0691078726434837,0.0682260279606233,-0.0392309268982318,NA,3,1,"d0","h1",FALSE,"",NA,3,"p1_d0_h1_r1"
1,"d0","d0","h1",-387.132253990102,9,55,193.566126995051,-369.132253990102,-351.06625532301,-362.145986368257,-365.132253990102,-321.364352929204,NA,FALSE,TRUE,FALSE,FALSE,6.74574051066295,17.95,1.00844942832078,0,0.000285694982469801,0.0676562375697043,-2.20115661974065,NA,3,2,"d0","h1",FALSE,"",NA,4,"p1_d0_h1_r2"
1,"d0","d0","h2",-373.281911107667,12,55,186.640955553834,-349.281911107667,-325.193912884877,-339.966887611874,-341.853339679096,-322.263449263963,NA,TRUE,TRUE,TRUE,TRUE,41.5388059391926,31.52,1,0.903041047840502,0.0765624649378196,0.0622332074687537,0.295170521229694,NA,3,1,"d0","h2",FALSE,"",NA,5,"p1_d0_h2_r1"
1,"d0","d0","h2",-395.57790302271,15,55,197.788951511355,-365.57790302271,-335.467905244222,-353.934123652968,-353.270210715017,-300.810496508264,NA,FALSE,TRUE,FALSE,FALSE,15.064016111299,17.95,1.01699210800167,0,-0.0101351559984399,0.0768159080734093,-3.62316806661509,NA,3,2,"d0","h2",FALSE,"",NA,6,"p1_d0_h2_r2"
1,"d1","d1","h0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"d1","h0",TRUE,"argumentos no compatibles",NA,7,"p1_d1_h0_r1"
1,"d1","d1","h0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"d1","h0",TRUE,"argumentos no compatibles",NA,8,"p1_d1_h0_r2"
1,"d1","d1","h1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"d1","h1",TRUE,"argumentos no compatibles",NA,9,"p1_d1_h1_r1"
1,"d1","d1","h1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"d1","h1",TRUE,"argumentos no compatibles",NA,10,"p1_d1_h1_r2"
